trade_date,instrument_type,open,high,low,close,volume,oi,amount
2009-03-27,RB,3984.956608492941,4111.80170617173,3943.4232579255495,3997.3043613643276,354590.0,45548.0,1268424.59
2009-03-30,RB,3984.956608492941,4018.632298142177,3960.2611027501675,3978.2214705630936,145168.0,48380.0,515145.32
2009-03-31,RB,3971.4863326332465,4002.9169763058667,3963.6286717150915,3983.834085504633,70592.0,44714.0,250600.29
2009-04-01,RB,3996.1818383760196,3997.3043613643276,3977.0989475747856,3981.589039528017,28100.0,42076.0,99751.88
2009-04-02,RB,3979.3439935514016,3982.711562516325,3879.439447592001,3898.522338393235,235446.0,68888.0,819716.77
2009-04-03,RB,3907.502522299698,3907.502522299698,3856.9889878258437,3870.459263685538,152376.0,75038.0,526691.75
2009-04-07,RB,3827.803390129839,3949.035872867089,3827.803390129839,3918.7277521827764,242578.0,100482.0,844799.05
2009-04-08,RB,3906.37999931139,3918.7277521827764,3879.439447592001,3887.2971085101562,147288.0,91910.0,511032.53
2009-04-09,RB,3901.8899073581583,3913.1151372412373,3883.9295395452327,3892.9097234516953,87688.0,94832.0,304514.6
2009-04-10,RB,3909.7475682763134,3927.7079360892394,3895.1547694283113,3910.8700912646214,120978.0,100164.0,421623.05
2009-04-13,RB,3911.9926142529293,3920.9727981593924,3888.419631498464,3894.0322464400033,109820.0,109430.0,382317.09
2009-04-14,RB,3900.767384369851,4041.0827579083343,3894.0322464400033,3996.1818383760196,540646.0,150640.0,1923791.89
2009-04-15,RB,4007.407068259098,4029.8575280252558,3984.956608492941,3998.426884352635,255606.0,151496.0,911622.27
2009-04-16,RB,4020.8773441187927,4072.513401580955,4007.407068259098,4036.592665955103,250464.0,169328.0,900979.25
2009-04-17,RB,4034.3476199784873,4094.963861347112,4019.7548211304847,4063.533217674492,339250.0,219892.0,1228872.57
2009-04-20,RB,4063.533217674492,4094.963861347112,4050.0629418147973,4066.9007866394154,259196.0,237828.0,941570.85
2009-04-21,RB,4018.632298142177,4029.8575280252558,3913.1151372412373,3955.771010796936,332448.0,239554.0,1176729.37
2009-04-22,RB,3984.956608492941,4002.9169763058667,3937.8106429840104,3958.016056773552,168524.0,232948.0,595914.2
2009-04-23,RB,3961.3836257384755,3963.6286717150915,3915.360183217853,3943.4232579255495,130386.0,232986.0,457376.22
2009-04-24,RB,3943.4232579255495,3953.5259648203205,3925.462890112624,3929.9529820658554,101444.0,246048.0,355699.48
2009-04-27,RB,3940.055688960626,3951.280918843705,3919.8502751710844,3927.7079360892394,102472.0,254508.0,359202.89
2009-04-28,RB,3924.340367124316,3945.6683039021655,3924.340367124316,3936.6881199957024,96548.0,262534.0,338664.43
2009-04-29,RB,3936.6881199957024,3951.280918843705,3932.198028042471,3951.280918843705,102694.0,275054.0,360640.86
2009-04-30,RB,3969.2412866566306,4013.0196832006377,3954.6484878086285,3988.3241774578646,246912.0,297600.0,874985.46
2009-05-04,RB,4010.7746372240217,4108.434137206807,4008.529591247406,4081.493585487418,574332.0,326102.0,2081622.81
2009-05-05,RB,4081.493585487418,4090.473769393881,4007.407068259098,4015.2647291772532,175954.0,309944.0,631447.31
2009-05-06,RB,4016.387252165561,4038.837711931719,4010.7746372240217,4034.3476199784873,103788.0,313462.0,372764.88
2009-05-07,RB,4072.513401580955,4074.7584475575704,4030.9800510135638,4033.2250969901793,150420.0,319090.0,542743.78
2009-05-08,RB,4039.960234920027,4059.0431257212604,4028.7350050369478,4056.798079744645,103620.0,323154.0,373306.65
2009-05-11,RB,4057.9206027329524,4128.639550996349,4047.817895838182,4084.8611544523415,335082.0,339154.0,1222718.46
2009-05-12,RB,4091.5962923821885,4108.434137206807,4074.7584475575704,4091.5962923821885,193634.0,339446.0,706321.78
2009-05-13,RB,4102.821522265267,4105.066568241883,4079.248539510802,4084.8611544523415,118636.0,340500.0,432636.1
2009-05-14,RB,4059.0431257212604,4063.533217674492,4029.8575280252558,4034.3476199784873,139572.0,336300.0,502270.14
2009-05-15,RB,4041.0827579083343,4061.288171697876,4036.592665955103,4045.572849861566,132292.0,338078.0,477072.85
2009-05-18,RB,4035.4701429667953,4054.553033768029,4019.7548211304847,4050.0629418147973,104746.0,336750.0,376713.87
2009-05-19,RB,4074.7584475575704,4074.7584475575704,4053.430510779721,4061.288171697876,95620.0,335490.0,345933.71
2009-05-20,RB,4059.0431257212604,4090.473769393881,4054.553033768029,4061.288171697876,118774.0,337480.0,430484.31
