ts_code,symbol,exchange,name,fut_code,multiplier,trade_unit,per_unit,quote_unit,quote_unit_desc,d_mode_desc,list_date,delist_date,d_month,last_ddate
AU1808.SHF,AU1808,SHFE,沪金1808,AU,,克,1000.0,人民币元/克,0.05人民币元/克,实物交割,2017-07-18,2018-08-15,201808,2018-08-22
AG1807.SHF,AG1807,SHFE,沪银1807,AG,,千克,15.0,人民币元/千克,1人民币元/千克,实物交割,2017-07-18,2018-07-16,201807,2018-07-23
RB1807.SHF,RB1807,SHFE,螺纹钢1807,RB,,吨,10.0,人民币元/吨,1人民币元/吨,实物交割,2017-07-18,2018-07-16,201807,2018-07-23
WR1807.SHF,WR1807,SHFE,线材1807,WR,,吨,10.0,人民币元/吨,1人民币元/吨,实物交割,2017-07-18,2018-07-16,201807,2018-07-23
HC1807.SHF,HC1807,SHFE,热轧卷板1807,HC,,吨,10.0,人民币元/吨,1人民币元/吨,实物交割,2017-07-18,2018-07-16,201807,2018-07-23
FU1808.SHF,FU1808,SHFE,燃油1808,FU,,吨,10.0,人民币元/吨,1人民币元/吨,实物交割,2017-08-01,2018-06-26,201808,2018-07-03
CU0810.SHF,CU0810,SHFE,沪铜0810,CU,,吨,5.0,人民币元/吨,10人民币元/吨,实物交割,2007-10-16,2008-10-15,200810,2008-10-22
AL9907.SHF,AL9907,SHFE,沪铝9907,AL,,吨,5.0,人民币元/吨,5人民币元/吨,实物交割,1999-03-02,1999-07-15,199907,1999-07-22
ZN0806.SHF,ZN0806,SHFE,沪锌0806,ZN,,吨,5.0,人民币元/吨,5人民币元/吨,实物交割,2007-06-18,2008-06-16,200806,2008-06-23
CU0812.SHF,CU0812,SHFE,沪铜0812,CU,,吨,5.0,人民币元/吨,10人民币元/吨,实物交割,2007-12-18,2008-12-15,200812,2008-12-22
AL9606.SHF,AL9606,SHFE,沪铝9606,AL,,吨,5.0,人民币元/吨,5人民币元/吨,实物交割,1996-03-11,1996-06-17,199606,1996-06-24
AL0906.SHF,AL0906,SHFE,沪铝0906,AL,,吨,5.0,人民币元/吨,5人民币元/吨,实物交割,2008-06-17,2009-06-15,200906,2009-06-22
RU9909.SHF,RU9909,SHFE,橡胶9909,RU,,吨,10.0,人民币元/吨,5人民币元/吨,实物交割,1999-05-04,1999-09-15,199909,1999-09-22
RU9610.SHF,RU9610,SHFE,橡胶9610,RU,,吨,10.0,人民币元/吨,5人民币元/吨,实物交割,1996-05-24,1996-10-15,199610,1996-10-22
CU0208.SHF,CU0208,SHFE,沪铜0208,CU,,吨,5.0,人民币元/吨,10人民币元/吨,实物交割,2001-10-12,2002-08-15,200208,2002-08-22
CU0506.SHF,CU0506,SHFE,沪铜0506,CU,,吨,5.0,人民币元/吨,10人民币元/吨,实物交割,2004-06-16,2005-06-15,200506,2005-06-22
RB0911.SHF,RB0911,SHFE,螺纹钢0911,RB,,吨,10.0,人民币元/吨,1人民币元/吨,实物交割,2009-03-27,2009-11-16,200911,2009-11-23
AG1810.SHF,AG1810,SHFE,沪银1810,AG,,千克,15.0,人民币元/千克,1人民币元/千克,实物交割,2017-10-17,2018-10-15,201810,2018-10-22
AL1810.SHF,AL1810,SHFE,沪铝1810,AL,,吨,5.0,人民币元/吨,5人民币元/吨,实物交割,2017-10-17,2018-10-15,201810,2018-10-22
AU1801.SHF,AU1801,SHFE,沪金1801,AU,,克,1000.0,人民币元/克,0.05人民币元/克,实物交割,2017-10-17,2018-01-15,201801,2018-01-22
BU1804.SHF,BU1804,SHFE,沥青1804,BU,,吨,10.0,人民币元/吨,2人民币元/吨,实物交割,2017-10-17,2018-04-16,201804,2018-04-23
CU1810.SHF,CU1810,SHFE,沪铜1810,CU,,吨,5.0,人民币元/吨,10人民币元/吨,实物交割,2017-10-17,2018-10-15,201810,2018-10-22
HC1810.SHF,HC1810,SHFE,热轧卷板1810,HC,,吨,10.0,人民币元/吨,1人民币元/吨,实物交割,2017-10-17,2018-10-15,201810,2018-10-22
NI1810.SHF,NI1810,SHFE,沪镍1810,NI,,吨,1.0,人民币元/吨,10人民币元/吨,实物交割,2017-10-17,2018-10-15,201810,2018-10-22
PB1810.SHF,PB1810,SHFE,沪铅1810,PB,,吨,5.0,人民币元/吨,5人民币元/吨,实物交割,2017-10-17,2018-10-15,201810,2018-10-22
RB1810.SHF,RB1810,SHFE,螺纹钢1810,RB,,吨,10.0,人民币元/吨,1人民币元/吨,实物交割,2017-10-17,2018-10-15,201810,2018-10-22
RU1810.SHF,RU1810,SHFE,橡胶1810,RU,,吨,10.0,人民币元/吨,5人民币元/吨,实物交割,2017-10-17,2018-10-15,201810,2018-10-22
SN1810.SHF,SN1810,SHFE,沪锡1810,SN,,吨,1.0,人民币元/吨,10人民币元/吨,实物交割,2017-10-17,2018-10-15,201810,2018-10-22
WR1810.SHF,WR1810,SHFE,线材1810,WR,,吨,10.0,人民币元/吨,1人民币元/吨,实物交割,2017-10-17,2018-08-31,201810,2018-10-22
